event_id,duplicate_status,canonical_event_id,match_reason,source_organization,url
"EVT-BSEE-0092","UNIQUE","EVT-BSEE-0092","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-425-drawworks-parking-brake-failure"
"EVT-BSEE-0093","UNIQUE","EVT-BSEE-0093","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-424-recent-uptick-in-lifting-injuries-due-to-unrecognized-pinch"
"EVT-BSEE-0094","UNIQUE","EVT-BSEE-0094","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-423-bsee-inspector-nearly-falls-through-unsecure-grating"
"EVT-BSEE-0095","UNIQUE","EVT-BSEE-0095","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-422-miscommunication-of-load-weight-leads-to-a-lifting-high"
"EVT-BSEE-0096","UNIQUE","EVT-BSEE-0096","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-421-metal-obstructions-lead-to-hand-injuries"
"EVT-BSEE-0097","UNIQUE","EVT-BSEE-0097","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/safety-alert-420-employee-injures-hand-in-rotating-equipment"
"EVT-BSEE-0098","UNIQUE","EVT-BSEE-0098","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-419-failed-seal-on-subsea-safety-valve-causes-leak"
"EVT-BSEE-0099","UNIQUE","EVT-BSEE-0099","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-418-failure-to-revise-job-safety-analysis-leads-to-injury"
"EVT-BSEE-0100","UNIQUE","EVT-BSEE-0100","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-417-inadquate-operation-of-circuit-breaker"
"EVT-BSEE-0101","UNIQUE","EVT-BSEE-0101","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-saftey-alert-416-investigation-into-grating-failure-fatality-reveals-deficiencies"
