event_id,source_organization,document_title,source_url,document_id,document_hash,provenance_status,quality_flag,is_oil_internal
EVT-IMCA-1777,International Marine Contractors Association (IMCA),09/12 Near-miss: Potential fall when TMS protection gate came loose,https://www.imca-int.com/resources/safety/safety-flashes/0912-near-miss-potential-fall-when-tms-protection-gate-came-loose/,SRC-IMCA-1777,6cb9ae6881a5e90c49dfdc4a7be9c9f222d1a9a50b110ead86f3672d20c8db6d,VERIFIED,VERIFIED,False
EVT-IMCA-1778,International Marine Contractors Association (IMCA),08/12 Near-miss: Bell umbilical damage incident,https://www.imca-int.com/resources/safety/safety-flashes/0812-near-miss-bell-umbilical-damage-incident/,SRC-IMCA-1778,911278c6dcf7a73c5f2ba5f20a497b6e3e0274ed3b933a938eeb9bf550001ff2,VERIFIED,VERIFIED,False
EVT-IMCA-1779,International Marine Contractors Association (IMCA),08/12 Near-miss: Failure of load during lifting,https://www.imca-int.com/resources/safety/safety-flashes/0812-near-miss-failure-of-load-during-lifting/,SRC-IMCA-1779,4ae272fbf3f9645b50069059275fb367f7f6da752bc935534bdb509c3fa8db71,VERIFIED,VERIFIED,False
EVT-IMCA-1780,International Marine Contractors Association (IMCA),08/12 Platform supply vessel comes into contact with fixed platform,https://www.imca-int.com/resources/safety/safety-flashes/0812-platform-supply-vessel-comes-into-contact-with-fixed-platform/,SRC-IMCA-1780,a145c20ac03d82eaee1e65c70af12699ec2c4ce36cf6517d6141090fd5045506,VERIFIED,VERIFIED,False
EVT-IMCA-1781,International Marine Contractors Association (IMCA),08/12 Near-miss: Dropped objects,https://www.imca-int.com/resources/safety/safety-flashes/0812-near-miss-dropped-objects/,SRC-IMCA-1781,ce0bba6b5a1dabdefd2c193eb2eec747b95d4fc29a2c816596bd1aab3b63ca95,VERIFIED,VERIFIED,False
EVT-IMCA-1782,International Marine Contractors Association (IMCA),07/12 Lost time injury (LTI): Incident with circular saw leads to loss of thumb,https://www.imca-int.com/resources/safety/safety-flashes/0712-lost-time-injury-lti-incident-with-circular-saw-leads-to-loss-of-thumb/,SRC-IMCA-1782,5ff0d5a8191acdbf518c0e3d44b355392cd23a2d5b6fdef3be0ff0559f008635,VERIFIED,VERIFIED,False
EVT-IMCA-1783,International Marine Contractors Association (IMCA),07/12 Small fire and minor injury during gas cutting,https://www.imca-int.com/resources/safety/safety-flashes/0712-small-fire-and-minor-injury-during-gas-cutting/,SRC-IMCA-1783,9dae91e1ccc31a565a6a782866ceca1cdfa9d1ee885ac99cc71160a1feadf41e,VERIFIED,VERIFIED,False
EVT-IMCA-1784,International Marine Contractors Association (IMCA),07/12 Two recent cases of hand and arm injuries,https://www.imca-int.com/resources/safety/safety-flashes/0712-two-recent-cases-of-hand-and-arm-injuries/,SRC-IMCA-1784,96814227a3459f9066694f92fc11f5a536c4baedbf1da6f4d4ba253b3266c2b9,VERIFIED,VERIFIED,False
EVT-IMCA-1786,International Marine Contractors Association (IMCA),07/12 Fall fatality during platform abandonment,https://www.imca-int.com/resources/safety/safety-flashes/0712-fall-fatality-during-platform-abandonment/,SRC-IMCA-1786,857b0a9cff3ff860b33a51804fcefa2f3e53b11c165fc179dad8407cfdf95532,VERIFIED,VERIFIED,False
EVT-IMCA-1787,International Marine Contractors Association (IMCA),06/12 Near-miss: Live electrical cable,https://www.imca-int.com/resources/safety/safety-flashes/0612-near-miss-live-electrical-cable/,SRC-IMCA-1787,9cdac70b9bfc311e95edfae3b109e675a099bd67d85fa079e5decf07120c9d5c,VERIFIED,VERIFIED,False
